pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta,veces_preguntada,aciertos,fallos
¿Cuál es la capital de Argentina?,Buenos Aires,Córdoba,Rosario,Mendoza,1,168,1,0
¿Qué río separa a Argentina de Uruguay?,Río Paraná,Río Colorado,Río de la Plata,Río Uruguay,3,110,0,1
¿En qué provincia se encuentra la ciudad de Ushuaia?,Santa Cruz,Chubut,Tierra del Fuego,Neuquén,3,6,0,1
¿Qué músico argentino compuso 'Canción Animal'?,Fito Páez,Gustavo Cerati,Charly García,Luis Alberto Spinetta,2,6,1,0
¿Qué animal es símbolo de la fauna patagónica?,Yacaré,Puma,Guanaco,Tucán,3,6,0,1
¿Qué científico argentino ganó el Premio Nobel en 1947?,Luis Leloir,César Milstein,Bernardo Houssay,René Favaloro,3,1,0,0
¿Cuál es la capital de la provincia de Córdoba?,Río Cuarto,Córdoba,Carlos Paz,Villa María,2,0,0,0
¿En qué año ganó Argentina su primer mundial de fútbol?,1978,1986,2002,1930,1,0,0,0
¿Cuál es la Avenida más ancha del mundo ubicada en Buenos Aires?,Avenida de Mayo,Avenida Corrientes,Avenida 9 de Julio,Avenida Libertador,3,0,0,0
¿Quién compuso la canción 'Gracias a la Vida'?,Mercedes Sosa,Charly García,Violeta Parra,Fito Páez,3,0,0,0
¿Qué provincia es conocida por sus empanadas y la Casa Histórica?,Salta,Catamarca,Tucumán,La Rioja,3,0,0,0
¿En qué ciudad nació Lionel Messi?,Rosario,Buenos Aires,Córdoba,Posadas,1,0,0,0
¿Qué bebida es famosa en Argentina?,Tequila,Mate,Pisco,Café,2,0,0,0
¿Quién es el autor de 'Martín Fierro'?,Jorge Luis Borges,José Hernández,Julio Cortázar,Ricardo Güiraldes,2,0,0,0
¿Cuál es el pico más alto de Argentina?,Cerro Aconcagua,Cerro Tronador,Cerro Fitz Roy,Nevado Ojos del Salado,1,0,0,0
¿Qué actriz argentina fue esposa de Juan Domingo Perón?,Tita Merello,Eva Perón,Libertad Lamarque,China Zorrilla,2,0,0,0
¿Qué jugador argentino ganó 7 Balones de Oro?,Diego Maradona,Lionel Messi,Alfredo Di Stéfano,Mario Kempes,2,0,0,0
¿Qué prócer argentino creó la bandera?,Domingo Sarmiento,José de San Martín,Manuel Belgrano,Juan Lavalle,3,0,0,0
¿Qué ciudad argentina es famosa por su Fiesta Nacional de la Vendimia?,San Juan,Mendoza,Salta,Tucumán,2,0,0,0
¿En qué provincia se encuentra la ciudad de Mendoza?,Santa Fe,San Juan,Mendoza,La Rioja,3,0,0,0
¿Qué festividad se celebra el 25 de mayo en Argentina?,Día de la Independencia,Día de la Revolución de Mayo,Día de la Bandera,Día del Trabajador,2,0,0,0
¿Qué provincia argentina es conocida por sus viñedos?,Salta,Mendoza,Jujuy,La Pampa,2,0,0,0
